,book_name,book_writer,translator,book_date,book_page,ori_book_price,sale_book_price,mileage
174,생생한 사례로 배우는 확률과 통계, 이재원 , , 2016-07-15, 476 ,25000,25000,750
175,공학과 경영, 김상균 , , 2016-07-07, 404 ,26000,26000,780
176,"IT CookBook, 운영체제(개정3판)", 구현회 , , 2016-06-30, 684 ,27000,27000,810
177,"IT CookBook, 처음 만나는 전자기학", 곽동주 , , 2016-06-28, 412 ,23000,23000,690
178,"IT CookBook, 디지털 콘텐츠 기획", 김성은 , , 2016-06-27, 508 ,26000,26000,780
179,IT 해외 취업 가이드 : 미국편, 송기봉 , , 2016-06-11, 296 ,18000,18000,540
180,"IT CookBook, 기초전자실험(개정판) : with PSpice", 홍순관 , , 2016-06-10, 296 ,17000,17000,510
181,"IT CookBook, 따라 하면서 배우는 아두이노", 허경용 , , 2016-06-10, 456 ,26000,26000,780
182,제대로 시작하는 기초 통계학 : Excel 활용, 노경섭 , , 2016-06-10, 312 ,24000,24000,720
183,"IT CookBook, 윈도우 서버 2012 R2 : 설치, 운영, 관리+실무 팁"," 남훈식 , 최영락 ", , 2016-02-25, 664 ,28000,28000,840
184,스크래치를 활용한 문제해결능력 향상, 김종훈 , , 2016-02-19, 124 ,9000,9000,270
185,대학생을 위한 스크래치 프로그래밍 : 누구나 할 수 있는 가장 쉬운 프로그래밍 입문서, 김종훈 , , 2016-01-26, 232 ,18000,18000,540
186,미적분학," Carol Ash , Robert B. Ash "," 김광수 , 최형규 ", 2016-01-21, 716 ,35000,35000,1050
187,"IT CookBook, 처음 만나는 전력공학"," 박숭규 , 최은혁 , 최병숙 ", , 2016-01-15, 416 ,23000,23000,690
188,"IT CookBook, 처음 만나는 회로이론", 방성완 , , 2016-01-12, 384 ,20000,20000,600
189,최신 공학수학 with Sage Ⅰ," 이상구 , 김영록 , 박준현 , 김응기 , 이재화 ", , 2016-01-12, 500 ,25000,25000,750
190,최신 공학수학 with Sage Ⅱ," 이상구 , 김영록 , 박준현 , 김응기 , 이재화 ", , 2016-01-12, 444 ,23000,23000,690
191,창의적 공학설계(개정판), 김은경 , , 2016-01-08, 404 ,22000,22000,660
192,"IT CookBook, 최신 이동통신 입문 : Mobile Communications", Jochen H. Schiller ," 곽경섭 , 고영채 ", 2016-01-04, 464 ,28000,28000,840
193,"IT CookBook, 쉬운 영어로 읽는 최신 전산 영어(개정3판)", 조준모 , , 2015-12-30, 300 ,17000,17000,510
194,"IT CookBook, 데이터베이스 기초와 실습 : 액세스 2013", 김지연 , , 2015-12-28, 504 ,25000,25000,750
195,"IT CookBook, 전자상거래와 e-비즈니스(개정3판)", 이동훈 , , 2015-12-28, 512 ,25000,25000,750
196,"IT CookBook, 컴퓨터 사이언스(개정판) : 새내기를 위한 최신 컴퓨터 개론"," 이동명 , 권오현 , 고정국 ", , 2015-12-28, 492 ,24000,24000,720
197,"IT CookBook, 핵심이 보이는 반도체 공학", 권기영 , , 2015-12-18, 568 ,28000,28000,840
198,"IT CookBook, 원리로 이해하는 전력전자공학 : 기초부터 응용까지"," 원충연 , 김영렬 , 이택기 , 정용채 , 이병국 ", , 2015-12-10, 484 ,26000,26000,780
199,"IT CookBook, C# 프로그래밍 : 프로그래밍 기초부터 객체 지향 핵심까지", 윤인성 , , 2015-12-01, 560 ,25000,25000,750
200,"IT CookBook, 쉽게 배우는 소프트웨어 공학", 김치수 , , 2015-12-01, 512 ,25000,25000,750
201,"IT CookBook, 시스템 분석과 설계(개정판) : 효과적인 비즈니스 정보시스템 개발", 허원실 , , 2015-12-01, 408 ,25000,25000,750
202,"IT CookBook, JUST JAVA : 객체지향에 충실한 자바다운 자바", 황희정 , , 2015-10-26, 512 ,25000,25000,750
203,"IT CookBook, UI/UX 디자인 이론과 실습", 이영주 , , 2015-09-23, 506 ,27000,27000,810
204,"IT CookBook, 정보보안 이론과 실제", 마크 스탬프 ," 안태남 , 손용락 , 이광석 ", 2015-09-17, 496 ,25000,25000,750
205,"IT CookBook, 리눅스 프로그래밍 기초 : 시스템 호출, 라이브러리 함수별 실습"," 최태영 , 황준하 , 고재필 , 윤현주 , 김용호 ", , 2015-08-17, 372 ,20000,20000,600
206,앱 인벤터 2 : 구글과 MIT 앱 인벤터 개발팀이 안내하는 안드로이드 프로그래밍," David Wolber , Hal Abelson , Ellen Spertus , Liz Looney "," 오일석 , 이진선 ", 2015-07-20, 384 ,24000,24000,720
207,easy LTE : 초보 기술자를 위한 이동통신 가이드북, 이상근 , , 2015-07-10, 232 ,23000,23000,690
208,"IT CookBook, 원리로 이해하는 마이크로파 공학", 홍익표 , , 2015-07-10, 432 ,26000,26000,780
209,"창의와 혁신의 시크릿, 트리즈 : Training How To Think Inventively", 김은경 , , 2015-07-10, 320 ,23000,23000,690
210,"IT CookBook, 디지털 논리회로(개정3판) : 이론, 실습, 시뮬레이션"," 임석구 , 홍경호 ", , 2015-07-07, 786 ,27000,27000,810
211,"IT CookBook, 핵심 API로 배우는 윈도우 프로그래밍", 강경우 , , 2015-06-28, 464 ,26000,26000,780
212,MATLAB으로 배우는 선형대수학 : Linear Algebra with MATLAB," 이광연 , 설한국 ", , 2015-06-10, 540 ,27000,27000,810
213,창의융합 프로젝트 아이디어북 : Creative Convergence Capstone Design with PBL, 조준동 , , 2015-06-10, 256 ,24000,24000,720
