회차,1등총당첨액,2등총당첨액,3등총당첨액,4등총당첨액,5등총당첨액,인당1등당첨액,인당2등당첨액,인당3등당첨액,인당4등당첨액,인당5등당첨액,1등당첨인원수,2등당첨인원수,3등당첨인원수,4등당첨인원수,5등당첨인원수,총판매금액
44,16810779000,2801795600,2801743500,5600852400,6960510000,3362155800,121817200,3569100,139700,10000,5,23,785,40092,696051,69956950000
45,16712835600,2785471200,2785433000,5570075000,7753390000,8356417800,103165600,3129700,122500,10000,2,27,890,45470,775339,71216232000
46,15983276400,2663879400,2663822000,5325101100,7451990000,5327758800,68304600,2554000,117700,10000,3,39,1043,45243,745199,68181568000
47,16250212000,2708368300,2708345200,5413372000,6794660000,3250042400,246215300,3002600,133400,10000,5,11,902,40580,679466,67756694000
48,14494041600,2415672500,2415647300,4829510400,8746680000,2415673600,96626900,1888700,83200,10000,6,25,1279,58047,874668,65806832000
49,13772532200,2295419700,2295333200,4585119000,9296350000,1967504600,46845300,1543600,69000,10000,7,49,1487,66451,929635,64501142000
50,15681184200,2613529800,2613464000,5226391200,6646310000,5227061400,186680700,3164000,129700,10000,3,14,826,40296,664631,65563234000
51,14526702000,2421114800,2421047300,4840371300,7065670000,2421117000,93119800,2519300,105900,10000,6,26,961,45707,706567,62553680000
52,15603379600,2600562900,2600536800,5199750000,6191090000,3900844900,200043300,3887200,150000,10000,4,13,669,34665,619109,64393446000
53,15043113000,2507185000,2507132200,5013606000,7426150000,5014371000,100287400,3126100,110500,10000,3,25,802,45372,742615,64996010000
54,15445879800,2574312000,2574307600,5147935800,6173370000,5148626600,171620800,3580400,147700,10000,3,15,719,34854,617337,63833006000
55,14177599200,2362932000,2362869600,4723050000,7468550000,7088799600,98455500,3245700,111000,10000,2,24,728,42550,746855,62195764000
56,15110283600,2518380300,2518362900,5033378800,7445660000,3777570900,86840700,1853100,122300,10000,4,29,1359,41156,744566,65258932000
57,16457647600,2742940000,2742912000,5484225000,7636920000,4114411900,109717600,2857200,124500,10000,4,25,960,44050,763692,70132666000
58,14705716800,2450951100,2450952800,4901703000,8809540000,3676429200,62844900,1859600,84200,10000,4,39,1318,58215,880954,66638136000
59,16510349200,2751724600,2751711900,5502584600,6264600000,4127587300,119640200,4226900,157100,10000,4,23,651,35026,626460,67563698000
60,15207532200,2534587200,2534496000,5064889600,7357080000,2172504600,93873600,2329500,110800,10000,7,27,1088,45712,735708,65405936000
61,17705194000,2950865500,2950860000,5899583700,7147840000,3541038800,268260500,3740000,143100,10000,5,11,789,41227,714784,73312994000
62,15817286400,2636213800,2636137100,5269110400,7008040000,15817286400,119827900,3179900,126400,10000,1,22,829,41686,700804,66740368000
63,15844491000,2640747200,2640672800,5279436000,7129540000,7922245500,101567200,3204700,127200,10000,2,26,824,41505,712954,67074050000
64,15599272000,2599878600,2599833600,5196380000,6543790000,3899818000,236352600,3993600,140000,10000,4,11,651,37117,654379,65085154000
65,14911783200,2485296000,2485233400,4966542000,8489600000,3727945800,92048000,2477800,94500,10000,4,27,1003,52556,848960,66685144000
66,14740552800,2456757000,2456721600,4910973600,7121810000,3685138200,129303000,3125600,122200,10000,4,19,786,40188,712181,63378796000
67,14801055500,2466837400,2466838800,4931070000,7489010000,2114436500,39787700,2537900,105500,10000,7,62,972,46740,748901,64314872000
68,14729410500,2454900000,2454873200,4906251000,7357600000,2945882100,122745000,3255800,113400,10000,5,20,754,43265,735760,63813236000
69,14888136600,2481356000,2481303800,4958766000,7042090000,4962712200,124067800,3239300,120300,10000,3,20,766,41220,704209,63711302000
70,15093833400,2515637600,2515594500,5027962700,6459900000,5031277800,179688400,3508500,136700,10000,3,14,717,36781,645990,63232578000
71,0,2484865600,2484805000,4967161200,6596310000,0,88745200,3177500,125700,10000,0,28,782,39516,659631,62889986000
72,42386819800,4579599200,4579495000,9153718200,17029590000,3260524600,104081800,1824500,80300,10000,13,44,2510,113994,1702959,125651214000
73,16599972600,2766660000,2766617400,5532996000,8651310000,2766662100,106410000,2029800,99500,10000,6,26,1363,55608,865131,72635862000
74,15854849400,2642472000,2642450100,5284585800,8026330000,5284949800,66061800,2588100,109100,10000,3,40,1021,48438,802633,68902158000
75,15658467600,2609743100,2609743100,5216017800,6971740000,3914616900,137354900,3194300,127900,10000,4,19,817,40782,697174,66138372000
76,14902045200,2483672800,2483628000,4966646400,7705220000,7451022600,146098400,2956700,111600,10000,2,17,840,44504,770522,65083924000
77,15467275800,2577878200,2577851500,5154993600,6431540000,5155758600,135677800,3615500,139200,10000,3,19,713,37033,643154,64420666000
78,14079400000,2346566200,2346526000,4690725000,7163230000,3519850000,106662100,2578600,110500,10000,4,22,910,42450,716323,61257794000
79,13665775200,2277629210,2277630108,4555264374,7418710000,3416443800,73471910,1904373,92154,10000,4,31,1196,49431,741871,60390004000
80,13809540000,2301590000,2301590536,4603184862,7064320000,13809540000,143849375,2651602,114362,10000,1,16,868,40251,706432,60160440000
81,13571444400,2261907400,2261908056,4523857320,7872580000,2714288880,113095370,2162436,87580,10000,5,20,1046,51654,787258,60983308000
82,14562494400,2427082400,2427082749,4854190480,6380580000,14562494400,121354120,3810177,134320,10000,1,20,637,36139,638058,61302808000
83,14173896600,2362316100,2362316430,4724661120,7632870000,7086948300,157487740,2775930,102880,10000,2,15,851,45924,763287,62512062000
84,15339558000,2556593008,2556593185,5113197610,5824450000,7669779000,150387824,4026131,157805,10000,2,17,635,32402,582445,62780760000
85,13848439200,2308073225,2308073872,4616147442,6644920000,3462109800,74453975,2804464,110577,10000,4,31,823,41746,664492,59451304000
86,14252186400,2375364400,2375364537,4750749355,6164340000,14252186400,148460275,3887667,135515,10000,1,16,611,35057,616434,59835968000
87,19792938605,3298823121,3298823750,6597681888,8908590000,1799358055,99964337,2639059,120466,10000,11,33,1250,54768,890859,83793642000
88,12278838600,2046473122,2046474066,4093006119,5490575000,3069709650,66015262,1729902,63321,5000,4,31,1183,64639,1098115,51910612000
89,12744965700,2124160950,2124161300,4248330821,6309480000,4248321900,70805365,1585195,58463,5000,3,30,1340,72667,1261896,55102179000
90,13165741200,2194290232,2194290540,4388619760,5803870000,3291435300,64537948,1691820,64645,5000,4,34,1297,67888,1160774,55493544000
91,14331609600,2388601600,2388601610,4777204873,5644510000,3582902400,74643800,1982242,74431,5000,4,32,1205,64183,1128902,59061052000
92,13565979306,2260996550,2260998054,4522055509,6538035000,1233270846,45219931,1393098,57011,5000,11,50,1623,79319,1307607,58296001000
93,13615068900,2269178158,2269178972,4538377520,5926375000,2269178150,87276083,1552106,66160,5000,6,26,1462,68597,1185275,57236313000
94,13472039700,2245339972,2245340031,4490699430,6118965000,2245339950,59087894,1659527,63155,5000,6,38,1353,71106,1223793,57144729000
95,13981929904,2330321664,2330322048,4660705280,6735530000,1747741238,48548368,1348566,56540,5000,8,48,1728,82432,1347106,60077493000
96,12929934605,2154989120,2154990222,4309996602,5558895000,1847133515,56710240,1800326,66002,5000,7,38,1197,65301,1111779,54217572000
97,13465926000,2244321002,2244321274,4488664921,6413390000,1496214000,48789587,1454518,58123,5000,9,46,1543,77227,1282678,57713200000
98,12711889200,2118648240,2118649080,4237306318,6929060000,3177972300,47081072,1126941,48251,5000,4,45,1880,87818,1385812,56231084000
99,13015314300,2169219080,2169220536,4338499788,6411555000,2169219050,54230477,1372056,56196,5000,6,40,1581,77203,1282311,56207491000
100,13261262100,2210210352,2210211296,4420462116,6178885000,3315315525,61394732,1431484,57484,5000,4,36,1544,76899,1235777,56561977000
101,13536487500,2256081280,2256081560,4512225140,6231720000,2707297500,59370560,1605752,61634,5000,5,38,1405,73210,1246344,57585065000
102,13114377603,2185729608,2185729728,4371494444,6611685000,1457153067,91072067,1616664,57919,5000,9,24,1352,75476,1322337,56937962000
103,13532716504,2255452760,2255453651,4510956573,6155780000,1691589563,59354020,1424797,59679,5000,8,38,1583,75587,1231156,57420615000
104,13221487500,2203581263,2203582320,4407192464,6231040000,6610743750,95807881,1704240,61361,5000,2,23,1293,71824,1246208,56533705000
105,13667125800,2277854306,2277854766,4555745808,5961315000,3416781450,87609781,1711386,65904,5000,4,26,1331,69127,1192263,57479716000
106,12967378512,2161229760,2161230192,4322523955,7079945000,810461157,54030744,1051182,46205,5000,16,40,2056,93551,1415989,57384485000
107,13359855600,2226642600,2226643968,4453322090,6506175000,6679927800,63618360,1020928,48590,5000,2,35,2181,91651,1301235,57545202000
108,13992305404,2332050931,2332052282,4664170431,6117105000,1998900772,56879291,1595111,65853,5000,7,41,1462,70827,1223421,58875228000
109,14962058400,2493676425,2493677278,4987368387,6355285000,1246838200,80441175,1670246,68153,5000,12,31,1493,73179,1271057,62584098000
110,13698786000,2283131010,2283131952,4566314520,5981435000,4566262000,60082395,1640181,61980,5000,3,38,1392,73674,1196287,57625490000
111,13194284700,2199047478,2199048396,4398134279,6948025000,2199047450,43118578,1268194,50633,5000,6,51,1734,86863,1389605,57876999000
112,14105440503,2350906752,2350907670,4701842451,6136935000,1567271167,73465836,1715991,66933,5000,9,32,1370,70247,1227387,59292005000
113,14053760406,2342293420,2342293779,4684624308,6206190000,1561528934,54471940,1583701,64428,5000,9,43,1479,72711,1241238,59258248000
114,14174070300,2362345052,2362346364,4724763240,6416250000,2362345050,57618172,1584404,60185,5000,6,41,1491,78504,1283250,60079401000
115,13397306103,2232884380,2232885470,4465808353,7236435000,1488589567,65673070,1122053,48739,5000,9,34,1990,91627,1447287,59130557000
116,13984231205,2330705216,2330705310,4661475325,7495990000,1997747315,41619736,1343346,50725,5000,7,56,1735,91897,1499198,61606084000
117,14025405006,2337567500,2337567620,4675173982,6339130000,1558378334,46751350,1423610,59662,5000,9,50,1642,78361,1267826,59429610000
118,12979897200,2163316210,2163316704,4326701039,6952805000,1297989720,52763810,1294624,51983,5000,10,41,1671,83233,1390561,57171934000
119,13274094600,2212349118,2212350448,4424716912,6776825000,1474899400,45149982,1142743,51856,5000,9,49,1936,85327,1355365,57800632000
120,13093590900,2182265150,2182265535,4364594400,6886840000,4364530300,70395650,1359667,54286,5000,3,31,1605,80400,1377368,57418983000
